category,subcategory,is_credit,is_adjustment,is_internal,Investment,Finance,Essential,Bill,Earned Income
Transferring Money,Savings,NULL,FALSE,TRUE,,,,,
Transferring Money,Credit Card,NULL,FALSE,TRUE,,,,,
Transferring Money,Other Transferring Money,NULL,FALSE,TRUE,,,,,
Income,Govt Benefits,TRUE,FALSE,FALSE,,,,,
Income,Salary & Wages,TRUE,FALSE,FALSE,,,,,TRUE
Income,Shares & Dividends,TRUE,FALSE,FALSE,TRUE,,,,TRUE
Income,Other Income,TRUE,FALSE,FALSE,,,,,
Income,Deposits,TRUE,FALSE,FALSE,,,,,
Banking & Finance,ATM Withdrawals,FALSE,FALSE,FALSE,,,,,
Banking & Finance,Investment,NULL,FALSE,FALSE,TRUE,,,,
Banking & Finance,Taxes & Fines,NULL,FALSE,FALSE,,,,,
Banking & Finance,Fees,FALSE,FALSE,FALSE,,,,,
Banking & Finance,Interest,NULL,FALSE,FALSE,,TRUE,,,
Banking & Finance,Loan Repayments,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,
Banking & Finance,Other Banking & Finance,FALSE,FALSE,FALSE,,,,,
Transport,Vehicle Maintenance,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Transport,Fuel,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Transport,Parking & Tolls,FALSE,FALSE,FALSE,,,TRUE,,
Transport,Public Transport,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Transport,Taxi & Rideshare,FALSE,FALSE,FALSE,,,TRUE,,
Transport,Other Transport,FALSE,FALSE,FALSE,,,TRUE,,
Household Utilities,Electricity & Gas,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Household Utilities,Phone & Internet,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Household Utilities,Water,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Household Utilities,Other Household Utilities,FALSE,FALSE,FALSE,,,TRUE,,
Health & Beauty,Hair & Beauty,FALSE,FALSE,FALSE,,,,,
Health & Beauty,Gyms & Fitness,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Health & Beauty,Other Health & Beauty,FALSE,FALSE,FALSE,,,,,
Health & Beauty,Doctors & Dentist,FALSE,FALSE,FALSE,,,TRUE,,
Health & Beauty,Eyewear,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Health & Beauty,Chemists,FALSE,FALSE,FALSE,,,TRUE,,
Shopping,Electronics & Appliances,FALSE,FALSE,FALSE,,,,,
Shopping,Clothing & Fashion,FALSE,FALSE,FALSE,,,,,
Shopping,Furniture,FALSE,FALSE,FALSE,,,,,
Shopping,Other Shopping,FALSE,FALSE,FALSE,,,,,
Shopping,Homewares,FALSE,FALSE,FALSE,,,,,
Shopping,Jewellery,FALSE,FALSE,FALSE,,,,,
Shopping,Sports & Outdoor,FALSE,FALSE,FALSE,,,,,
Home,Rent,FALSE,FALSE,FALSE,,,TRUE,TRUE,
Home,Rates,FALSE,FALSE,FALSE,,,TRUE,,
