category,amount,date,description
Shopping - Homewares,-220.41,3/12/2015,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Transport - Public Transport,-305.62,24/02/2014,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Transport - Vehicle Maintenance,-87.24,10/07/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum q"
Work & Study - Course Fees,-122.34,24/11/2017,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Entertainment - Media Subscriptions,-321.15,24/02/2016,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Holiday & Travel - Hotels & Accomodation,-19.81,20/11/2015,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Entertainment - Events,-7.97,6/10/2016,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Household Utilities - Other Household Utilities,-7.35,7/03/2016,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Shopping - Electronics & Appliances,-58.23,25/06/2016,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla"
Home - Rent,-120.75,4/10/2015,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Miscellaneous - Other,-207.65,11/07/2016,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Transport - Public Transport,-10.78,11/08/2015,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacin
Miscellaneous - Other,-95.11,22/03/2017,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi e"
Banking & Finance - ATM Withdrawals,-26.37,12/08/2015,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
Holiday & Travel - Vehicle Rentals,-56.42,8/12/2015,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, a"
Holiday & Travel - Other Travel,-243.99,17/07/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Food & Drinks - Takeaways,-3.32,14/01/2016,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
Work & Study - Books & Stationery,-156.76,29/06/2015,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Groceries - Liquor Stores,-90.02,13/08/2016,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Groceries - Supermarkets,-60.27,25/05/2016,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Household Utilities - Other Household Utilities,-90.16,4/03/2015,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Shopping - Electronics & Appliances,-140.75,9/03/2015,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi 
Shopping - Electronics & Appliances,-60.26,23/06/2015,Aenean fermentum.
Holiday & Travel - Vehicle Rentals,-44.08,3/02/2017,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Work & Study - News & Subscriptions,-178.29,11/07/2015,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id,"
Holiday & Travel - Other Travel,-65.50,3/04/2015,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor conva
Work & Study - Other Work & Study,-270.27,3/09/2015,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Shopping - Clothing & Fashion,-94.91,14/11/2015,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Shopping - Sports & Outdoor,-19.09,9/02/2015,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Household Utilities - Phone & Internet,-94.73,3/04/2014,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Work & Study - Books & Stationery,-158.42,6/02/2017,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Health & Beauty - Gyms & Fitness,-161.44,30/03/2017,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Work & Study - Other Work & Study,-32.30,15/02/2014,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
Household Utilities - Phone & Internet,-44.08,8/02/2014,Donec posuere metus vitae ipsum. Aliquam non mauris.
Food & Drinks - Takeaways,-244.92,25/11/2014,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Holiday & Travel - Other Travel,-83.82,28/07/2015,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc"
Health & Beauty - Eyewear,-56.81,7/02/2015,Nunc nisl.
Entertainment - Media Subscriptions,-272.15,24/04/2016,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Home - Rent,-55.97,24/12/2016,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Holiday & Travel - Flights,-68.40,26/08/2015,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Work & Study - Books & Stationery,-34.66,1/05/2017,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Home - Rent,-36.01,24/04/2017,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Health & Beauty - Doctors & Dentist,-77.97,2/11/2017,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Food & Drinks - Restaurants,-112.46,29/05/2016,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Household Utilities - Other Household Utilities,-98.64,4/01/2018,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Banking & Finance - Loan Repayments,-26.25,2/02/2014,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem "
Work & Study - Books & Stationery,-138.00,30/12/2017,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea 
Transport - Public Transport,-82.15,6/10/2014,Suspendisse potenti. Nullam porttitor lacus at turpis.
Entertainment - Events,-175.38,1/10/2017,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Transport - Taxi & Rideshare,-67.06,6/03/2015,Donec vitae nisi.
Banking & Finance - ATM Withdrawals,-13.43,7/11/2014,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Transport - Fuel,-167.49,10/04/2016,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non veli
Holiday & Travel - Vehicle Rentals,-44.26,22/05/2014,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Holiday & Travel - Flights,-66.68,2/04/2017,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non"
Entertainment - Events,-157.36,19/01/2016,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Health & Beauty - Gyms & Fitness,-51.35,12/01/2016,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in portt"
Work & Study - Books & Stationery,-26.82,21/12/2016,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
